"id","type_mob","value"
1,"mob_com",1
2,"mob_com",1
3,"mob_com",1
4,"mob_com",1
5,"mob_com",1
6,"mob_com",1
7,"mob_com",1
8,"mob_com",1
9,"mob_com",1
10,"mob_com",1
11,"mob_dep",1
12,"mob_dep",1
13,"mob_dep",1
14,"mob_dep",1
15,"mob_dep",1
16,"mob_dep",1
17,"mob_dep",1
18,"mob_dep",1
19,"mob_dep",1
20,"mob_dep",1
21,"mob_reg",1
22,"mob_reg",1
23,"mob_reg",1
24,"mob_france",1
25,"mob_france",1
26,"mob_france",1
27,"mob_france",1
28,"mob_all",1
29,"immob",0
30,"immob",0
31,"immob",0
32,"immob",0
33,"immob",0
34,"immob",0
35,"immob",0
36,"immob",0
37,"immob",0
38,"immob",0
39,"immob",0
40,"immob",0
41,"immob",0
42,"immob",0
43,"immob",0
44,"immob",0
45,"immob",0
46,"immob",0
47,"immob",0
48,"immob",0
49,"immob",0
50,"immob",0
51,"immob",0
52,"immob",0
53,"immob",0
54,"immob",0
55,"immob",0
56,"immob",0
57,"immob",0
58,"immob",0
59,"immob",0
60,"immob",0
61,"immob",0
62,"immob",0
63,"immob",0
64,"immob",0
65,"immob",0
66,"immob",0
67,"immob",0
68,"immob",0
69,"immob",0
70,"immob",0
71,"immob",0
72,"immob",0
73,"immob",0
74,"immob",0
75,"immob",0
76,"immob",0
77,"immob",0
78,"immob",0
79,"immob",0
80,"immob",0
81,"immob",0
82,"immob",0
83,"immob",0
84,"immob",0
85,"immob",0
86,"immob",0
87,"immob",0
88,"immob",0
89,"immob",0
90,"immob",0
91,"immob",0
92,"immob",0
93,"immob",0
94,"immob",0
95,"immob",0
96,"immob",0
97,"immob",0
98,"immob",0
99,"immob",0
100,"immob",0
101,"immob",0
102,"immob",0
103,"immob",0
104,"immob",0
105,"immob",0
106,"immob",0
107,"immob",0
108,"immob",0
109,"immob",0
110,"immob",0
111,"immob",0
112,"immob",0
113,"immob",0
114,"immob",0
115,"immob",0
116,"immob",0
117,"immob",0
118,"immob",0
119,"immob",0
120,"immob",0
121,"immob",0
122,"immob",0
123,"immob",0
124,"immob",0
125,"immob",0
126,"immob",0
127,"immob",0
128,"immob",0
129,"immob",0
130,"immob",0
131,"immob",0
132,"immob",0
133,"immob",0
134,"immob",0
135,"immob",0
136,"immob",0
137,"immob",0
138,"immob",0
139,"immob",0
140,"immob",0
141,"immob",0
142,"immob",0
143,"immob",0
144,"immob",0
145,"immob",0
146,"immob",0
147,"immob",0
148,"immob",0
149,"immob",0
150,"immob",0
151,"immob",0
152,"immob",0
153,"immob",0
154,"immob",0
155,"immob",0
156,"immob",0
157,"immob",0
158,"immob",0
159,"immob",0
160,"immob",0
161,"immob",0
162,"immob",0
163,"immob",0
164,"immob",0
165,"immob",0
166,"immob",0
167,"immob",0
168,"immob",0
169,"immob",0
170,"immob",0
171,"immob",0
172,"immob",0
173,"immob",0
174,"immob",0
175,"immob",0
176,"immob",0
177,"immob",0
178,"immob",0
179,"immob",0
180,"immob",0
181,"immob",0
182,"immob",0
183,"immob",0
184,"immob",0
185,"immob",0
186,"immob",0
187,"immob",0
188,"immob",0
189,"immob",0
190,"immob",0
191,"immob",0
192,"immob",0
193,"immob",0
194,"immob",0
195,"immob",0
196,"immob",0
197,"immob",0
198,"immob",0
199,"immob",0
200,"immob",0
201,"immob",0
202,"immob",0
203,"immob",0
204,"immob",0
205,"immob",0
206,"immob",0
207,"immob",0
208,"immob",0
209,"immob",0
210,"immob",0
211,"immob",0
212,"immob",0
213,"immob",0
214,"immob",0
215,"immob",0
216,"immob",0
217,"immob",0
218,"immob",0
219,"immob",0
220,"immob",0
221,"immob",0
222,"immob",0
223,"immob",0
224,"immob",0
225,"immob",0
226,"immob",0
227,"immob",0
228,"immob",0
229,"immob",0
230,"immob",0
231,"immob",0
232,"immob",0
233,"immob",0
234,"immob",0
235,"immob",0
236,"immob",0
237,"immob",0
238,"immob",0
239,"immob",0
240,"immob",0
241,"immob",0
242,"immob",0
243,"immob",0
244,"immob",0
245,"immob",0
246,"immob",0
247,"immob",0
248,"immob",0
249,"immob",0
250,"immob",0
