"id","type_mob","value"
1,"mob_com",1
2,"mob_com",1
3,"mob_com",1
4,"mob_com",1
5,"mob_com",1
6,"mob_com",1
7,"mob_com",1
8,"mob_com",1
9,"mob_com",1
10,"mob_com",1
11,"mob_com",1
12,"mob_com",1
13,"mob_com",1
14,"mob_com",1
15,"mob_com",1
16,"mob_com",1
17,"mob_com",1
18,"mob_com",1
19,"mob_com",1
20,"mob_com",1
21,"mob_com",1
22,"mob_com",1
23,"mob_com",1
24,"mob_com",1
25,"mob_com",1
26,"mob_com",1
27,"mob_com",1
28,"mob_com",1
29,"mob_com",1
30,"mob_com",1
31,"mob_com",1
32,"mob_com",1
33,"mob_com",1
34,"mob_com",1
35,"mob_com",1
36,"mob_com",1
37,"mob_com",1
38,"mob_com",1
39,"mob_com",1
40,"mob_com",1
41,"mob_dep",1
42,"mob_dep",1
43,"mob_dep",1
44,"mob_dep",1
45,"mob_dep",1
46,"mob_dep",1
47,"mob_dep",1
48,"mob_dep",1
49,"mob_dep",1
50,"mob_dep",1
51,"mob_dep",1
52,"mob_dep",1
53,"mob_dep",1
54,"mob_dep",1
55,"mob_dep",1
56,"mob_dep",1
57,"mob_dep",1
58,"mob_dep",1
59,"mob_dep",1
60,"mob_dep",1
61,"mob_dep",1
62,"mob_dep",1
63,"mob_dep",1
64,"mob_dep",1
65,"mob_dep",1
66,"mob_dep",1
67,"mob_dep",1
68,"mob_dep",1
69,"mob_dep",1
70,"mob_dep",1
71,"mob_dep",1
72,"mob_dep",1
73,"mob_dep",1
74,"mob_dep",1
75,"mob_dep",1
76,"mob_dep",1
77,"mob_dep",1
78,"mob_dep",1
79,"mob_dep",1
80,"mob_dep",1
81,"mob_dep",1
82,"mob_reg",1
83,"mob_reg",1
84,"mob_reg",1
85,"mob_reg",1
86,"mob_reg",1
87,"mob_reg",1
88,"mob_reg",1
89,"mob_reg",1
90,"mob_reg",1
91,"mob_reg",1
92,"mob_reg",1
93,"mob_reg",1
94,"mob_france",1
95,"mob_france",1
96,"mob_france",1
97,"mob_france",1
98,"mob_france",1
99,"mob_france",1
100,"mob_france",1
101,"mob_france",1
102,"mob_france",1
103,"mob_france",1
104,"mob_france",1
105,"mob_france",1
106,"mob_france",1
107,"mob_france",1
108,"mob_france",1
109,"mob_france",1
110,"mob_all",1
111,"mob_all",1
112,"mob_all",1
113,"mob_all",1
114,"immob",1
115,"immob",1
116,"immob",1
117,"immob",1
118,"immob",1
119,"immob",1
120,"immob",1
121,"immob",1
122,"immob",1
123,"immob",1
124,"immob",1
125,"immob",1
126,"immob",1
127,"immob",1
128,"immob",1
129,"immob",1
130,"immob",1
131,"immob",1
132,"immob",1
133,"immob",1
134,"immob",1
135,"immob",1
136,"immob",1
137,"immob",1
138,"immob",1
139,"immob",1
140,"immob",1
141,"immob",1
142,"immob",1
143,"immob",1
144,"immob",1
145,"immob",1
146,"immob",1
147,"immob",1
148,"immob",1
149,"immob",1
150,"immob",1
151,"immob",1
152,"immob",1
153,"immob",1
154,"immob",1
155,"immob",1
156,"immob",1
157,"immob",1
158,"immob",1
159,"immob",1
160,"immob",1
161,"immob",1
162,"immob",1
163,"immob",1
164,"immob",1
165,"immob",1
166,"immob",1
167,"immob",1
168,"immob",1
169,"immob",1
170,"immob",1
171,"immob",1
172,"immob",1
173,"immob",1
174,"immob",1
175,"immob",1
176,"immob",1
177,"immob",1
178,"immob",1
179,"immob",1
180,"immob",1
181,"immob",1
182,"immob",1
183,"immob",1
184,"immob",1
185,"immob",1
186,"immob",1
187,"immob",1
188,"immob",1
189,"immob",1
190,"immob",1
191,"immob",1
192,"immob",1
193,"immob",1
194,"immob",1
195,"immob",1
196,"immob",1
197,"immob",1
198,"immob",1
199,"immob",1
200,"immob",1
201,"immob",1
202,"immob",1
203,"immob",1
204,"immob",1
205,"immob",1
206,"immob",1
207,"immob",1
208,"immob",1
209,"immob",1
210,"immob",1
211,"immob",1
212,"immob",1
213,"immob",1
214,"immob",1
215,"immob",1
216,"immob",1
217,"immob",1
218,"immob",1
219,"immob",1
220,"immob",1
221,"immob",1
222,"immob",1
223,"immob",1
224,"immob",1
225,"immob",1
226,"immob",1
227,"immob",1
228,"immob",1
229,"immob",1
230,"immob",1
231,"immob",1
232,"immob",1
233,"immob",1
234,"immob",1
235,"immob",1
236,"immob",1
237,"immob",1
238,"immob",1
239,"immob",1
240,"immob",1
241,"immob",1
242,"immob",1
243,"immob",1
244,"immob",1
245,"immob",1
246,"immob",1
247,"immob",1
248,"immob",1
249,"immob",1
250,"immob",1
251,"immob",1
252,"immob",1
253,"immob",1
254,"immob",1
255,"immob",1
256,"immob",1
257,"immob",1
258,"immob",1
259,"immob",1
260,"immob",1
261,"immob",1
262,"immob",1
263,"immob",1
264,"immob",1
265,"immob",1
266,"immob",1
267,"immob",1
268,"immob",1
269,"immob",1
270,"immob",1
271,"immob",1
272,"immob",1
273,"immob",1
274,"immob",1
275,"immob",1
276,"immob",1
277,"immob",1
278,"immob",1
279,"immob",1
280,"immob",1
281,"immob",1
282,"immob",1
283,"immob",1
284,"immob",1
285,"immob",1
286,"immob",1
287,"immob",1
288,"immob",1
289,"immob",1
290,"immob",1
291,"immob",1
292,"immob",1
293,"immob",1
294,"immob",1
295,"immob",1
296,"immob",1
297,"immob",1
298,"immob",1
299,"immob",1
300,"immob",1
301,"immob",1
302,"immob",1
303,"immob",1
304,"immob",1
305,"immob",1
306,"immob",1
307,"immob",1
308,"immob",1
309,"immob",1
310,"immob",1
311,"immob",1
312,"immob",1
313,"immob",1
314,"immob",1
315,"immob",1
316,"immob",1
317,"immob",1
318,"immob",1
319,"immob",1
320,"immob",1
321,"immob",1
322,"immob",1
323,"immob",1
324,"immob",1
325,"immob",1
326,"immob",1
327,"immob",1
328,"immob",1
329,"immob",1
330,"immob",1
331,"immob",1
332,"immob",1
333,"immob",1
334,"immob",1
335,"immob",1
336,"immob",1
337,"immob",1
338,"immob",1
339,"immob",1
340,"immob",1
341,"immob",1
342,"immob",1
343,"immob",1
344,"immob",1
345,"immob",1
346,"immob",1
347,"immob",1
348,"immob",1
349,"immob",1
350,"immob",1
351,"immob",1
352,"immob",1
353,"immob",1
354,"immob",1
355,"immob",1
356,"immob",1
357,"immob",1
358,"immob",1
359,"immob",1
360,"immob",1
361,"immob",1
362,"immob",1
363,"immob",1
