"codepci","libepci","cat_cs3","cat_cs6","cat_cs7","cat_cs8"
"200000172","CC Faucigny-Glières","0_1",,"0_0",
"200000438","CC du Pays de Pontchâteau Saint-Gildas-des-Bois",,,"1_0",
"200000545","CC des Portes de Romilly-sur-Seine",,"0_1","1_1",
"200000628","CC Rhône Lez Provence",,"1_1",,
"200000800","CC Coeur de Sologne",,,"0_1",
"200000925","CC de la Plaine Dijonnaise",,,,
"200000933","CC Sauldre et Sologne",,"1_1",,"0_0"
"200004802","CC du Pays de Fayence","1_1",,"1_1",
"200005932","CC des Portes de Sologne",,,,
"200005957","CC de la Région de Rambervillers",,,,"0_1"
"200006682","CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",,,,
"200006716","CC du Nogentais",,,,
"200006930","CC du Haut-Allier",,"1_0","0_1",
"200006971","CC du Perche",,,"1_1","0_0"
"200007052","CC de la Marche Berrichonne","0_0",,"0_1",
"200007177","CC Pays de Nérondes",,,,"1_0"
"200010650","CA du Grand Dole",,,,"0_1"
"200010700","CA Caux Seine Agglo",,"1_1",,"0_1"
"200011773","CA Annemasse-les Voirons-Agglomération",,,,
"200011781","CC Portes du Berry entre Loire et Val d'Aubois",,,,"0_0"
"200012060","CC Petite Montagne",,"0_1","1_1","0_0"
"200013050","CC Sauer-Pechelbronn",,"1_1",,"0_0"
"200015162","CC de l'Oriente",,,"1_1","0_0"
"200016905","CC du Pays de Lamastre",,,"1_1","0_0"
"200017341","CC Lodévois et Larzac",,,,
"200017846","CA Étampois Sud-Essonne",,,,
"200018083","CC de Desvres-Samer",,"1_1",,"0_1"
"200018166","CC Le Grésivaudan","1_1",,,"0_1"
"200018406","CC du Romorantinais et du Monestois",,,"1_1",
"200018521","CC du Val de Bouzanne",,"1_1","0_1","0_0"
"200018653","CA Cap Excellence",,,,
"200022986","CC du Grand Pic Saint-Loup",,,"0_0",
"200023075","CC du Pays de Maîche",,"1_1",,"0_0"
"200023125","CC Les Portes Briardes entre Villes et Forêts","1_1",,"0_0","0_1"
"200023240","CC Pays de Nemours",,,,
"200023299","CC Coeur de Tarentaise",,,"1_0",
"200023307","CA du Grand Villeneuvois",,,"1_1",
"200023372","CC de la Vallée de Chamonix-Mont-Blanc",,,,
"200023414","Métropole Rouen Normandie","0_1",,,"1_1"
"200023620","CC de la Gascogne Toulousaine","1_1","0_0","0_0","0_1"
"200023737","CA du Grand Cahors",,,,
"200023778","CC du Pays de Saint-Gilles-Croix-de-Vie",,"0_0","1_1","0_0"
"200023794","CC de Blaye",,,,"0_0"
"200023919","CC Gâtinais Val de Loing",,,,
"200026573","CC Haut-Jura Saint-Claude",,,,
"200027027","CC Arc Sud Bretagne","1_0",,"1_1","0_0"
"200027076","CC Arnon Boischaut Cher","0_0",,"0_1",
"200027100","CC Méditerranée Porte des Maures",,,"1_1",
"200027183","CU Perpignan Méditerranée Métropole",,,,
"200027217","CC Sarlat-Périgord Noir",,,"1_1","0_0"
"200027308","CC d'Auberive Vingeanne et Montsaugeonnais",,,,"0_0"
"200027548","CC des Savanes",,,,
"200029734","CC des 4B Sud Charente","0_0",,"1_1",
"200029999","CC Rives de l'Ain - Pays du Cerdon",,"1_1",,
"200030195","Métropole Nice Côte d'Azur",,,,
"200030385","CA de Blois Agglopolys",,,,
"200030435","CC d'Aire-sur-l'Adour",,,,
"200030526","CC du Ried de Marckolsheim",,,,"0_1"
"200030633","CC du Caudrésis et du Catésis",,,,"0_1"
"200030658","CC du Trièves","1_1",,,
"200030674","CA Val de Garonne Agglomération",,,"1_1",
"200032514","CC Berry-Loire-Vauvise",,,"1_1","0_0"
"200033025","CA de Bar-le-Duc - Sud Meuse",,,,
"200033090","CC Plaines et Monts de France","0_1","1_0","0_0",
"200033116","CC Cluses-Arve et Montagnes",,"1_1",,
