"codgeo","libgeo","abs_sm_68_75","abs_sm_75_82","abs_sm_82_90","abs_sm_90_99","abs_sm_99_09","abs_sm_09_14","tcampop_sm_68_75","tcampop_sm_75_82","tcampop_sm_82_90","tcampop_sm_90_99","tcampop_sm_99_09","tcampop_sm_09_14"
"01","Guadeloupe",6567.57142857143,3680.42857142857,317.625,545.222222222222,2183.5,2680.8,-2.11995111152158,-1.16301255064321,0.095448880626309,-0.148193123685625,-0.555225602900853,-0.668517964466593
"02","Martinique",5645.71428571429,3408.28571428571,32,1226.44444444444,1277.1,4308.2,-1.75288015141606,-1.04411304871941,0.009359412675818,-0.332208432486834,-0.329048511856553,-1.10078626703556
"03","Guyane",399.428571428571,1320.14285714286,3104.125,1114.11111111111,1793.2,2.8,0.818462925841819,2.11612465236813,3.46019928194052,0.840966286132594,0.966651584013592,0.001189688441288
"04","La Réunion",2149.85714285714,4648.57142857143,377.25,1862.66666666667,456.6,4740,-0.48678790444859,-0.942538921633269,0.068503635454716,0.288988506856614,0.060515755222619,-0.573254438178425
"11","Île-de-France",15270.8571428571,39796.8571428571,6109.75,54917.4444444444,25914,50665.2,0.160488835835252,-0.39950225998244,-0.059160832590925,-0.508992375988415,-0.229389770078737,-0.427649468463481
"24","Centre-Val de Loire",13177.2857142857,10095,7219.25,2945,4280.6,2564,0.640065308290856,0.458885537419911,0.31245182684955,0.122623079248973,0.172311183948424,0.100388366394327
"27","Bourgogne-Franche-Comté",6189.42857142857,1719.85714285714,4056.75,2391,3341.7,1622.6,0.242435037253627,-0.064848405969511,-0.150706727435718,-0.088037338835325,0.120878868824877,-0.057648679147394
"28","Normandie",1846.85714285714,2030.28571428571,1704.625,4535.11111111111,1058.1,2469.6,-0.065519886905906,-0.068909009752988,-0.055717361026095,-0.143460234180557,-0.03257927056997,-0.074463441797699
"32","Hauts-de-France",14400.8571428571,20939.1428571429,21814.5,19102.1111111111,19479.3,14805.2,-0.262851101294927,-0.372121150900185,-0.381509329107194,-0.328753352820337,-0.330461021040195,-0.248033863454884
"44","Grand Est",4679.02897909995,17966.2076606467,19589.2067194111,7932.55555555556,4198.7,10440.2,-0.092486738327928,-0.345168699693705,-0.372985283714596,-0.148935184024082,-0.07701952379229,-0.188433549046882
"52","Pays de la Loire",4646.57142857143,5428,1373,6546.33333333333,16709.4,15918,0.17462972399938,0.191372232423413,0.045977296108837,0.209092062482914,0.496970548803433,0.442258547621487
"53","Bretagne",5504.42857142857,8636.71428571429,4871.875,8145.44444444445,20419.1,15414.4,0.218237344556727,0.32674767622911,0.177414055438906,0.28636549878375,0.674961426074668,0.479392892790882
"75","Nouvelle-Aquitaine",8827.71428571429,18778.7142857143,18620.75,18647.4444444444,43544,33420.6,0.186366852198334,0.384898815472656,0.370341746643439,0.360117640235616,0.79773723591409,0.578576067285598
"76","Occitanie",17580,28368.7142857143,34964.75,30450,55175,41904.2,0.443639192830103,0.685201383535363,0.798506805998011,0.650900319907131,1.07703160189755,0.751575424114189
"84","Auvergne-Rhône-Alpes",20835.8571428571,9573.85714285714,14087.25,6190.88888888889,25454,27524.8,0.353493976226933,0.154113956228532,0.21710277063648,0.091090045139033,0.353315098991647,0.360355676164192
"93","Provence-Alpes-Côte d'Azur",43988.1428571429,36265,27608,19400.5555555556,27444.6,5778,1.27242427481634,0.954844348998793,0.674755764543139,0.444245485191367,0.586939670987347,0.117280204606922
"94","Corse",2597.28571428571,2104.14285714286,1077.625,1003.55555555556,4498.1,3657.2,1.21476761625754,0.907932224886936,0.440561393733891,0.394004625419496,1.60613739547549,1.16842746379386
