"codepci","clust","cat"
200000172,6,"Trentenaires, cadres et professions intermédiaires"
200000438,4,"Employés et ouvriers"
200000545,3,"Ouvriers et jeunes enfants"
200000628,2,"Profil diversifié, plutôt âgé"
200000800,4,"Employés et ouvriers"
200000925,4,"Employés et ouvriers"
200000933,2,"Profil diversifié, plutôt âgé"
200004802,1,"Retraités"
200005932,6,"Trentenaires, cadres et professions intermédiaires"
200005957,3,"Ouvriers et jeunes enfants"
200006682,4,"Employés et ouvriers"
200006716,4,"Employés et ouvriers"
200006930,3,"Ouvriers et jeunes enfants"
200006971,4,"Employés et ouvriers"
200007052,2,"Profil diversifié, plutôt âgé"
200007177,3,"Ouvriers et jeunes enfants"
200010650,2,"Profil diversifié, plutôt âgé"
200010700,4,"Employés et ouvriers"
200011773,4,"Employés et ouvriers"
200011781,3,"Ouvriers et jeunes enfants"
200012060,2,"Profil diversifié, plutôt âgé"
200013050,4,"Employés et ouvriers"
200015162,1,"Retraités"
200016905,1,"Retraités"
200017341,2,"Profil diversifié, plutôt âgé"
200017846,6,"Trentenaires, cadres et professions intermédiaires"
200018083,4,"Employés et ouvriers"
200018166,6,"Trentenaires, cadres et professions intermédiaires"
200018406,4,"Employés et ouvriers"
200018521,2,"Profil diversifié, plutôt âgé"
200018653,6,"Trentenaires, cadres et professions intermédiaires"
200022986,6,"Trentenaires, cadres et professions intermédiaires"
200023075,4,"Employés et ouvriers"
200023125,6,"Trentenaires, cadres et professions intermédiaires"
200023240,6,"Trentenaires, cadres et professions intermédiaires"
200023299,6,"Trentenaires, cadres et professions intermédiaires"
200023307,3,"Ouvriers et jeunes enfants"
200023372,6,"Trentenaires, cadres et professions intermédiaires"
200023414,5,"Jeunes adultes, étudiants et cadres"
200023620,6,"Trentenaires, cadres et professions intermédiaires"
200023737,2,"Profil diversifié, plutôt âgé"
200023778,1,"Retraités"
200023794,2,"Profil diversifié, plutôt âgé"
200023919,3,"Ouvriers et jeunes enfants"
200026573,5,"Jeunes adultes, étudiants et cadres"
200027027,1,"Retraités"
200027076,4,"Employés et ouvriers"
200027100,1,"Retraités"
200027183,2,"Profil diversifié, plutôt âgé"
200027217,2,"Profil diversifié, plutôt âgé"
200027308,3,"Ouvriers et jeunes enfants"
200027548,6,"Trentenaires, cadres et professions intermédiaires"
200029734,3,"Ouvriers et jeunes enfants"
200029999,2,"Profil diversifié, plutôt âgé"
200030195,5,"Jeunes adultes, étudiants et cadres"
200030385,5,"Jeunes adultes, étudiants et cadres"
200030435,3,"Ouvriers et jeunes enfants"
200030526,6,"Trentenaires, cadres et professions intermédiaires"
200030633,3,"Ouvriers et jeunes enfants"
200030658,1,"Retraités"
200030674,3,"Ouvriers et jeunes enfants"
200032514,1,"Retraités"
200033025,5,"Jeunes adultes, étudiants et cadres"
200033090,6,"Trentenaires, cadres et professions intermédiaires"
200033116,4,"Employés et ouvriers"
200033173,6,"Trentenaires, cadres et professions intermédiaires"
200033181,5,"Jeunes adultes, étudiants et cadres"
200033207,3,"Ouvriers et jeunes enfants"
200033298,3,"Ouvriers et jeunes enfants"
200033579,5,"Jeunes adultes, étudiants et cadres"
200033827,2,"Profil diversifié, plutôt âgé"
200033868,1,"Retraités"
200034023,2,"Profil diversifié, plutôt âgé"
200034031,2,"Profil diversifié, plutôt âgé"
200034049,4,"Employés et ouvriers"
200034056,2,"Profil diversifié, plutôt âgé"
200034064,2,"Profil diversifié, plutôt âgé"
200034098,6,"Trentenaires, cadres et professions intermédiaires"
200034130,6,"Trentenaires, cadres et professions intermédiaires"
200034197,2,"Profil diversifié, plutôt âgé"
200034205,1,"Retraités"
200034270,4,"Employés et ouvriers"
200034379,2,"Profil diversifié, plutôt âgé"
200034411,2,"Profil diversifié, plutôt âgé"
200034601,1,"Retraités"
200034635,6,"Trentenaires, cadres et professions intermédiaires"
200034692,4,"Employés et ouvriers"
200034700,5,"Jeunes adultes, étudiants et cadres"
200034718,3,"Ouvriers et jeunes enfants"
200034726,1,"Retraités"
200034825,4,"Employés et ouvriers"
200034833,1,"Retraités"
200034874,4,"Employés et ouvriers"
200034882,4,"Employés et ouvriers"
200034957,6,"Trentenaires, cadres et professions intermédiaires"
200035087,2,"Profil diversifié, plutôt âgé"
200035103,4,"Employés et ouvriers"
200035111,3,"Ouvriers et jeunes enfants"
200035129,1,"Retraités"
200035137,3,"Ouvriers et jeunes enfants"
200035202,3,"Ouvriers et jeunes enfants"
200035319,1,"Retraités"
200035327,1,"Retraités"
200035442,5,"Jeunes adultes, étudiants et cadres"
200035459,5,"Jeunes adultes, étudiants et cadres"
200035533,2,"Profil diversifié, plutôt âgé"
200035541,2,"Profil diversifié, plutôt âgé"
200035632,1,"Retraités"
200035665,4,"Employés et ouvriers"
200035707,3,"Ouvriers et jeunes enfants"
200035715,3,"Ouvriers et jeunes enfants"
200035723,2,"Profil diversifié, plutôt âgé"
200035731,5,"Jeunes adultes, étudiants et cadres"
200035756,2,"Profil diversifié, plutôt âgé"
200035764,4,"Employés et ouvriers"
200035772,4,"Employés et ouvriers"
200035814,3,"Ouvriers et jeunes enfants"
200035848,3,"Ouvriers et jeunes enfants"
200035855,2,"Profil diversifié, plutôt âgé"
200035863,2,"Profil diversifié, plutôt âgé"
200035970,6,"Trentenaires, cadres et professions intermédiaires"
200036069,5,"Jeunes adultes, étudiants et cadres"
200036077,1,"Retraités"
200036135,3,"Ouvriers et jeunes enfants"
200036150,3,"Ouvriers et jeunes enfants"
200036465,6,"Trentenaires, cadres et professions intermédiaires"
200036473,2,"Profil diversifié, plutôt âgé"
200036499,2,"Profil diversifié, plutôt âgé"
200036523,1,"Retraités"
200036549,3,"Ouvriers et jeunes enfants"
200036572,4,"Employés et ouvriers"
200037059,3,"Ouvriers et jeunes enfants"
200037133,3,"Ouvriers et jeunes enfants"
200038958,1,"Retraités"
200038990,4,"Employés et ouvriers"
200039022,4,"Employés et ouvriers"
200039055,2,"Profil diversifié, plutôt âgé"
200039063,6,"Trentenaires, cadres et professions intermédiaires"
200039204,4,"Employés et ouvriers"
200039519,1,"Retraités"
200039642,4,"Employés et ouvriers"
200039709,2,"Profil diversifié, plutôt âgé"
200039758,4,"Employés et ouvriers"
200039808,1,"Retraités"
200039824,1,"Retraités"
200039832,1,"Retraités"
200039857,2,"Profil diversifié, plutôt âgé"
200039865,5,"Jeunes adultes, étudiants et cadres"
200039907,6,"Trentenaires, cadres et professions intermédiaires"
200039915,1,"Retraités"
200039931,2,"Profil diversifié, plutôt âgé"
200039949,4,"Employés et ouvriers"
200040038,4,"Employés et ouvriers"
200040095,2,"Profil diversifié, plutôt âgé"
200040111,2,"Profil diversifié, plutôt âgé"
200040137,4,"Employés et ouvriers"
200040178,4,"Employés et ouvriers"
200040202,2,"Profil diversifié, plutôt âgé"
200040210,1,"Retraités"
200040244,4,"Employés et ouvriers"
200040251,3,"Ouvriers et jeunes enfants"
200040277,4,"Employés et ouvriers"
200040293,2,"Profil diversifié, plutôt âgé"
200040350,2,"Profil diversifié, plutôt âgé"
200040384,3,"Ouvriers et jeunes enfants"
200040392,5,"Jeunes adultes, étudiants et cadres"
200040400,1,"Retraités"
200040418,3,"Ouvriers et jeunes enfants"
200040426,4,"Employés et ouvriers"
200040442,2,"Profil diversifié, plutôt âgé"
200040459,5,"Jeunes adultes, étudiants et cadres"
200040475,3,"Ouvriers et jeunes enfants"
200040491,3,"Ouvriers et jeunes enfants"
200040509,2,"Profil diversifié, plutôt âgé"
200040558,1,"Retraités"
200040566,4,"Employés et ouvriers"
200040574,6,"Trentenaires, cadres et professions intermédiaires"
200040590,6,"Trentenaires, cadres et professions intermédiaires"
200040624,2,"Profil diversifié, plutôt âgé"
200040657,6,"Trentenaires, cadres et professions intermédiaires"
200040681,1,"Retraités"
200040715,5,"Jeunes adultes, étudiants et cadres"
200040764,1,"Retraités"
200040772,3,"Ouvriers et jeunes enfants"
200040798,2,"Profil diversifié, plutôt âgé"
200040814,6,"Trentenaires, cadres et professions intermédiaires"
200040830,2,"Profil diversifié, plutôt âgé"
200040889,1,"Retraités"
200040905,2,"Profil diversifié, plutôt âgé"
200040947,4,"Employés et ouvriers"
200040954,3,"Ouvriers et jeunes enfants"
200041010,6,"Trentenaires, cadres et professions intermédiaires"
200041051,1,"Retraités"
200041150,1,"Retraités"
200041168,1,"Retraités"
200041283,4,"Employés et ouvriers"
200041317,5,"Jeunes adultes, étudiants et cadres"
200041325,6,"Trentenaires, cadres et professions intermédiaires"
200041333,3,"Ouvriers et jeunes enfants"
200041366,6,"Trentenaires, cadres et professions intermédiaires"
200041416,4,"Employés et ouvriers"
200041440,2,"Profil diversifié, plutôt âgé"
200041465,1,"Retraités"
200041499,2,"Profil diversifié, plutôt âgé"
200041507,6,"Trentenaires, cadres et professions intermédiaires"
200041515,2,"Profil diversifié, plutôt âgé"
200041523,1,"Retraités"
200041556,1,"Retraités"
200041572,1,"Retraités"
200041614,2,"Profil diversifié, plutôt âgé"
200041622,3,"Ouvriers et jeunes enfants"
200041630,5,"Jeunes adultes, étudiants et cadres"
200041689,3,"Ouvriers et jeunes enfants"
200041721,3,"Ouvriers et jeunes enfants"
200041762,4,"Employés et ouvriers"
200041788,2,"Profil diversifié, plutôt âgé"
200041853,2,"Profil diversifié, plutôt âgé"
200041861,3,"Ouvriers et jeunes enfants"
200041879,4,"Employés et ouvriers"
200041887,4,"Employés et ouvriers"
200041960,6,"Trentenaires, cadres et professions intermédiaires"
200041994,4,"Employés et ouvriers"
200042000,3,"Ouvriers et jeunes enfants"
200042174,5,"Jeunes adultes, étudiants et cadres"
200042182,3,"Ouvriers et jeunes enfants"
200042190,4,"Employés et ouvriers"
200042372,1,"Retraités"
200042414,3,"Ouvriers et jeunes enfants"
200042463,1,"Retraités"
200042497,6,"Trentenaires, cadres et professions intermédiaires"
200042604,1,"Retraités"
200042620,4,"Employés et ouvriers"
200042646,1,"Retraités"
200042653,1,"Retraités"
200042703,3,"Ouvriers et jeunes enfants"
200042729,4,"Employés et ouvriers"
200042901,6,"Trentenaires, cadres et professions intermédiaires"
200042935,5,"Jeunes adultes, étudiants et cadres"
200042943,1,"Retraités"
200042992,4,"Employés et ouvriers"
200043016,3,"Ouvriers et jeunes enfants"
200043065,2,"Profil diversifié, plutôt âgé"
200043081,4,"Employés et ouvriers"
200043123,1,"Retraités"
200043156,4,"Employés et ouvriers"
